Date,Open,High,Low,Close,Adj Close,Volume
2021-04-25,50047.84,50567.91,46930.0,49066.77,49066.77,58255.645004
2021-04-26,49066.76,54356.62,48753.44,54001.39,54001.39,86310.802124
2021-04-27,54001.38,55460.0,53222.0,55011.97,55011.97,54064.034675
2021-04-28,55011.97,56428.0,53813.16,54846.22,54846.22,55130.459015
2021-04-29,54846.23,55195.84,52330.94,53555.0,53555.0,52486.019455
2021-04-30,53555.0,57963.0,53013.01,57694.27,57694.27,68578.910045
2021-05-01,57697.25,58458.07,56956.14,57800.37,57800.37,42600.351836
2021-05-02,57797.35,57911.02,56035.25,56578.21,56578.21,36812.878863
2021-05-03,56578.21,58981.44,56435.0,57169.39,57169.39,57649.931286
2021-05-04,57169.39,57200.0,53046.69,53200.01,53200.01,85324.625903
2021-05-05,53205.05,58069.82,52900.0,57436.11,57436.11,77263.923439
2021-05-06,57436.11,58360.0,55200.0,56393.68,56393.68,70181.671908
2021-05-07,56393.68,58650.0,55241.63,57314.75,57314.75,74542.747829
2021-05-08,57315.49,59500.0,56900.0,58862.05,58862.05,69709.906028
2021-05-09,58866.53,59300.0,56235.66,58240.84,58240.84,69806.11991
2021-05-10,58240.83,59500.0,53400.0,55816.14,55816.14,89586.34925
2021-05-11,55816.14,56862.43,54370.0,56670.02,56670.02,64329.54055
2021-05-12,56670.02,58000.01,48600.0,49631.32,49631.32,99842.789836
2021-05-13,49537.15,51367.19,46000.0,49670.97,49670.97,147332.002121
2021-05-14,49671.92,51483.0,48799.75,49841.45,49841.45,80082.204306
2021-05-15,49844.16,50700.0,46555.0,46762.99,46762.99,89437.449359
2021-05-16,46762.99,49795.89,43825.39,46431.5,46431.5,114269.812775
2021-05-17,46426.83,46686.0,42001.0,43538.04,43538.04,166657.172736
2021-05-18,43538.02,45799.29,42250.02,42849.78,42849.78,116979.860784
2021-05-19,42849.78,43584.9,30000.0,36690.09,36690.09,354347.243161
2021-05-20,36671.23,42451.67,34850.0,40526.64,40526.64,203017.596923
2021-05-21,40525.39,42200.0,33488.0,37252.01,37252.01,202100.888258
2021-05-22,37263.35,38829.0,35200.62,37449.73,37449.73,126542.243689
2021-05-23,37458.51,38270.64,31111.01,34655.25,34655.25,217136.046593
2021-05-24,34681.44,39920.0,34031.0,38796.29,38796.29,161630.893971
2021-05-25,38810.99,39791.77,36419.62,38324.72,38324.72,111996.228404
2021-05-26,38324.72,40841.0,37800.44,39241.91,39241.91,104780.773396
2021-05-27,39241.92,40411.14,37134.27,38529.98,38529.98,86547.158794
2021-05-28,38529.99,38877.83,34684.0,35663.49,35663.49,135377.62972
2021-05-29,35661.79,37338.58,33632.76,34605.15,34605.15,112663.092689
2021-05-30,34605.15,36488.0,33379.0,35641.27,35641.27,73535.386967
2021-05-31,35641.26,37499.0,34153.84,37253.81,37253.81,94160.735289
2021-06-01,37253.82,37894.81,35666.0,36693.09,36693.09,81234.66377
2021-06-02,36694.85,38225.0,35920.0,37568.68,37568.68,67587.372495
2021-06-03,37568.68,39476.0,37170.0,39246.79,39246.79,75889.106011
2021-06-04,39246.78,39289.07,35555.15,36829.0,36829.0,91317.799245
2021-06-05,36829.15,37925.0,34800.0,35513.2,35513.2,70459.62149
2021-06-06,35516.07,36480.0,35222.0,35796.31,35796.31,47650.206637
2021-06-07,35796.31,36900.0,33300.0,33552.79,33552.79,77574.952573
2021-06-08,33556.96,34068.01,31000.0,33380.81,33380.81,123251.189037
2021-06-09,33380.8,37534.79,32396.82,37388.05,37388.05,136607.597517
2021-06-10,37388.05,38491.0,35782.0,36675.72,36675.72,109527.284943
2021-06-11,36677.83,37680.4,35936.77,37331.98,37331.98,78466.0053
2021-06-12,37331.98,37463.63,34600.36,35546.11,35546.11,87717.54999
2021-06-13,35546.12,39380.0,34757.0,39020.57,39020.57,86921.025555
2021-06-14,39020.56,41064.05,38730.0,40516.29,40516.29,108522.391949
2021-06-15,40516.28,41330.0,39506.4,40144.04,40144.04,80679.622838
2021-06-16,40143.8,40527.14,38116.01,38349.01,38349.01,87771.976937
2021-06-17,38349.0,39559.88,37365.0,38092.97,38092.97,79541.307119
2021-06-18,38092.97,38202.84,35129.29,35819.84,35819.84,95228.042935
2021-06-19,35820.48,36457.0,34803.52,35483.72,35483.72,68712.449461
2021-06-20,35483.72,36137.72,33336.0,35600.16,35600.16,89878.17085
2021-06-21,35600.17,35750.0,31251.23,31608.93,31608.93,168778.873159
